"id","station_name","country_id","region_id","address","phone"
"424","Журавно","1","12","18919 Lukken Hill","(919) 9387375"
"425","Високопілля","1","20","54 Morning Park","(266) 7314350"
"426","Біла Криниця","1","16","2979 Dahle Parkway","(459) 3453845"
"427","Снігурівка","1","13","5798 Namekagon Trail","(659) 3695085"
"428","Клевань","1","16","0138 Donald Drive","(853) 7146597"
"429","Могилів-1","5","1000","2 Browning Circle","(707) 8102719"
"430","Несета","5","1000","62360 Macpherson Drive","(280) 7346032"
"431","Єлізово","5","1000","64009 Westerfield Court","(924) 8782713"
"432","Осиповичі-1","5","1000","93778 Hauk Road","(100) 7732315"
"433","Мінськ-Пас.","5","1000","8048 Vera Circle","(452) 3697028"
"434","Столбці","5","1000","61391 Coleman Drive","(793) 1557201"
"435","Барановичі-Поліські","5","1000","9 Nelson Center","(735) 1915867"
"436","Ляховичи","5","1000","0 Cambridge Point","(753) 5278905"
"437","Ганцевичі","5","1000","4840 Meadow Vale Hill","(315) 1540105"
"438","Лунінець","5","1000","30313 Pleasure Park","(464) 4105228"
"439","Припять","1","9","6 Bashford Way","(456) 2883625"
"440","Видибір","5","1000","96884 Lawn Court","(652) 8899692"
"441","Горинь","6","1000","1582 Stephen Street","(541) 9558315"
"442","Удрицьк","1","16","51 Schurz Lane","(904) 9289312"
"443","Дубровиця","1","16","8 Village Green Center","(789) 1961219"
"444","Костопіль","1","16","3 Esker Pass","(635) 1659043"
"445","Верхньодніпровськ","1","3","800 Roxbury Drive","(324) 7721991"
"446","Вільногірськ","1","3","5 Waubesa Place","(681) 7475958"
"447","Камянка","1","3","374 Monument Circle","(339) 9092040"
"448","Тернавка","1","23","61858 Superior Pass","(123) 6250566"
"449","Верхнє Синьовидне","1","12","4 Northland Center","(917) 8038783"
"450","Нижнє Синьовидне","1","12","06170 Westerfield Drive","(900) 4178089"
"451","Стинава Нижня","1","12","202 Bayside Plaza","(155) 1571382"
"452","Любинці","1","12","11 Sutherland Pass","(159) 6053394"
"453","Гірне","1","12","3576 Karstens Way","(880) 5307161"
"454","Конюхів","1","12","085 Golf Plaza","(382) 5276635"
"455","Завишень","1","12","5407 Eggendart Pass","(421) 3592531"
"456","Гірняк","1","12","9986 Towne Pass","(257) 5682366"
"457","Стриханка","1","12","84117 Fair Oaks Plaza","(237) 6668854"
"458","Добротвір","1","12","7 Cherokee Center","(579) 5044914"
"459","Батятичі","1","12","7486 7th Drive","(530) 7146344"
"460","Зарваниця","1","18","85017 Mifflin Lane","(361) 8392721"
"461","Плугів","1","12","7567 High Crossing Point","(161) 1411875"
"462","Метенів","1","18","339 Pine View Hill","(371) 7781276"
"463","Тустоголови","1","18","8495 Golf Course Parkway","(582) 1074813"
"464","Ярчівці","1","18","893 Donald Point","(893) 3860993"
"465","Озерна","1","18","0150 Independence Way","(814) 4910886"
"466","Цебрів","1","18","84529 Moulton Park","(260) 8427652"
"467","Курівці-Тернопільські","1","18","99 Sommers Crossing","(109) 1443403"
"468","Глибочок-Великий","1","18","259 Carberry Place","(475) 3194421"
"469","Біла","1","18","92 Barnett Circle","(904) 9114780"
"470","Тернопіль-Вантажний","1","18","233 Burning Wood Court","(626) 8959876"
"471","Хриплин","1","8","6693 Westend Pass","(570) 9331093"
"472","Опорець","1","12","86252 Springview Lane","(350) 7142529"
"473","Гукливий","1","6","4418 Dixon Plaza","(223) 3476373"
"474","Яблунів","1","8","9 Vahlen Alley","(903) 8435725"
"475","Занька","1","6","53 Steensland Point","(658) 2349207"
"476","1662 Км","1","6","58844 Red Cloud Crossing","(484) 3126362"
"477","Вовчий","1","6","1814 Stephen Park","(913) 5755756"
"478","Сасівка","1","6","37 Sage Way","(832) 8052191"
"479","Неліпино","1","6","2 Independence Trail","(267) 3305990"
"480","Драчино","1","6","920 Boyd Place","(213) 2116452"
"481","Пасіка","1","6","7 Rieder Trail","(118) 9496349"
"482","Чинадієве","1","6","42881 6th Alley","(231) 1828939"
"483","Чинадієве(оп)","1","6","345 Armistice Hill","(202) 1142339"
"484","Кольчине","1","6","30677 Derek Court","(695) 9838527"
"485","Мукачево-Прилад","1","6","287 Westend Drive","(263) 3968116"
"486","83 Км","1","6","6530 Holy Cross Terrace","(268) 3534589"
"487","Іванівка","1","6","0 Graedel Parkway","(770) 6367641"
"488","Черкаси","1","22","82658 Knutson Plaza","(304) 5722243"
"489","Тальне","1","22","273 American Ash Circle","(436) 5868532"
"490","Кублич","1","22","7 Kim Court","(434) 4476605"
"491","Костянтинівка","1","4","5154 Sundown Street","(422) 4319289"
"492","Дружківка","1","4","6803 Moland Avenue","(469) 5197479"
"493","Краматорськ","1","4","044 Johnson Circle","(860) 3366299"
"494","Словянськ","1","4","23 Delaware Terrace","(146) 7150474"
"495","Лозова","1","19","0613 Westport Park","(396) 7368329"
"496","Мелітополь","1","7","4708 Erie Pass","(362) 9049474"
"497","Якимівка","1","7","56 Mockingbird Terrace","(763) 9399573"
"498","Партизани","1","7","2 Union Crossing","(894) 7556147"
"499","Новоолексіївка","1","7","219 Randy Trail","(855) 9677893"
"500","Відень Центральний","7","1000","58 Old Gate Alley","(350) 4419062"
"501","Хедешхалом","8","1000","34044 Ramsey Point","(902) 6368840"
"502","Мошонмадяровар","8","1000","940 Fair Oaks Terrace","(241) 3958043"
"503","Дьйор","8","1000","925 Clove Point","(700) 9170267"
"504","Татабанія","8","1000","26794 Homewood Drive","(408) 9817277"
"505","Будапешт-Келенфельд","8","1000","6302 Oakridge Way","(712) 3401050"
"506","Будапешт-Келеті","8","1000","4083 Farragut Pass","(629) 1415045"
"507","Сольнок","8","1000","5328 Almo Avenue","(224) 4649726"
"508","Терексентмиклош","8","1000","42809 Reindahl Plaza","(520) 9310916"
"509","Кішуйсаллаш","8","1000","17917 Farmco Alley","(754) 7965773"
"510","Карцаг","8","1000","81 Saint Paul Pass","(166) 4777762"
"511","Пюштекладань","8","1000","82 Blackbird Drive","(976) 6557534"
"512","Хайдусобосло","8","1000","872 Saint Paul Avenue","(462) 7554036"
"513","Дебрецен","8","1000","431 Florence Park","(965) 9526067"
"514","Нїредьхаза","8","1000","515 Weeping Birch Street","(477) 3674228"
"515","Демечер","8","1000","5 Bay Terrace","(817) 9212806"
"516","Кишварда","8","1000","1708 Clove Street","(636) 4534623"
"517","Захонь","8","1000","8429 New Castle Street","(737) 5022749"
"518","Дніпробуд-2","1","7","0 Granby Crossing","(203) 9701326"
"519","Мирова","1","3","6 Surrey Plaza","(749) 6157780"
"520","Марганець","1","3","3 Hintze Trail","(382) 5633377"
"521","Нікополь","1","3","3005 Arizona Circle","(220) 6478638"
"522","Чортомлик","1","3","1 Namekagon Alley","(463) 6145831"
"523","Рокувата","1","3","5414 Stoughton Circle","(904) 6518205"
"524","Користівка","1","14","55369 Rutledge Road","(228) 5433277"
"525","Кропивницький","1","11","44 Katie Plaza","(272) 9919764"
"526","Плетений Ташлик","1","11","96 Continental Way","(775) 1720862"
"527","Новоукраїнка","1","11","492 Warrior Center","(870) 4819608"
"528","Помічна","1","11","6983 Victoria Pass","(359) 3017311"
"529","Первомайськ-на-Бузі","1","13","7764 Muir Circle","(828) 9104501"
"530","Врадіївка","1","13","3 Crest Line Place","(198) 9807319"
"531","Любашівка","1","14","836 Corry Alley","(883) 6875130"
"532","Балта","1","14","47 Memorial Street","(952) 3112997"
"533","Слобідка","1","14","2 Summit Terrace","(833) 8590283"
"534","Ярошенка","1","1","77422 Warner Junction","(978) 4607683"
"535","Кролевець","1","17","57 Center Pass","(684) 9034860"
"536","Терещенська","1","17","85 Waywood Street","(898) 1048991"
"537","Хутір-Михайлівський","1","17","81458 Susan Street","(592) 7598826"
"538","Суземка","8","1000","416 Morrow Way","(303) 8902686"
"539","Брянск-Орловський","2","1000","1 Harper Court","(833) 8997569"
"540","Москва-Київська","2","1000","920 Springview Drive","(921) 5165328"
"541","Коломак","1","19","4683 Scofield Terrace","(205) 7513271"
"542","Решетилівка","1","15","981 Barnett Park","(525) 8245753"
"543","Гоголеве","1","15","4005 Harper Street","(706) 2787871"
"544","Мукачево-Перевалочна","1","6","8 Elgar Drive","(317) 4764459"
"545","Ключарки","1","6","36 Jenifer Way","(570) 2989151"
"546","Страбичово","1","6","00193 Cordelia Trail","(233) 3484328"
"547","Баркасове","1","6","066 Swallow Hill","(186) 9550796"
"548","Ровне","1","6","79 Gateway Pass","(650) 2818761"
"549","1727 Км","1","6","958 Claremont Hill","(169) 1730327"
"550","Свобода","1","6","684 Loomis Way","(364) 1804103"
"551","Есень","1","6","59 Manufacturers Crossing","(407) 9309557"
"552","Есень-платформа","1","6","035 Dayton Road","(191) 8835295"
"553","Мінеральне","1","6","187 Hoffman Parkway","(695) 4811745"
"554","Чоп-Перев.","1","6","73 Talmadge Circle","(646) 5398206"
"555","Брянськ-Льговський","2","1000","53 Fairfield Hill","(314) 9504273"
"556","Мостиська(митниця)","1","12","20 Merry Way","(156) 1455282"
"557","Басів Кут","1","16","17343 Westridge Street","(180) 1136768"
"558","Дворецька","1","16","4031 Washington Drive","(248) 1957038"
"563","Прикінцева","","","",""
"564","Вантажна","","","",""
